question,answer
what are the symptoms of ebola virus disease?,"Fever, Headache, Muscle pain, Fatigue, Diarrhea, Vomiting, Abdominal pain, Unexplained hemorrhage"
what are the symptoms of paratyphoid fever?,"Fever, Abdominal pain, Diarrhea, Nausea and vomiting"
what are the symptoms of cystic fibrosis?,"Persistent cough with thick mucus, Wheezing or shortness of breath, Poor growth or weight gain, Frequent respiratory infections, Salty-tasting skin, Difficulty with bowel movements"
what are the treatments for impetigo?,"Antibiotic ointments or creams, Oral antibiotics, Keeping the affected area clean and covered"
what is thyroid cancer?,"Thyroid cancer is a type of cancer that starts in the cells of the thyroid gland, which is located in the front of the neck."
what are the symptoms of cryptosporidiosis?,"Diarrhea, Stomach cramps, Nausea, Vomiting, Fever, Dehydration"
what are the symptoms of lou gehrig's disease?,"Muscle weakness in hands, arms, legs or feet, Difficulty speaking, swallowing, or breathing, Muscle cramps and twitching"
what are the treatments for crohn's disease?,"Anti-inflammatory drugs, Immune system suppressors, Antibiotics, Nutrition therapy, Surgery"
what are the symptoms of typhoid fever?,"Fever, Headache, Abdominal pain, Loss of appetite, Fatigue, Diarrhea or constipation, Rash"
what are the symptoms of cerebral palsy?,"Muscle stiffness, Muscle weakness, Lack of muscle coordination, Tremors, Difficulty with fine motor skills, Difficulty with gross motor skills, Difficulty with swallowing or speaking"
what are the symptoms of influenza?,"Fever, Cough, Sore throat, Runny or stuffy nose, Body aches, Headache, Fatigue"
what is otitis media?,"Otitis media is an infection or inflammation of the middle ear, which is the space behind the eardrum that contains the small bones that vibrate in response to sound."
what is yeast infection?,A yeast infection is a common fungal infection caused by the overgrowth of the Candida fungus.
what are the symptoms of peripheral neuropathy?,"Tingling, burning or prickling sensations in the affected area, Sharp, stabbing or shooting pain, Extreme sensitivity to touch, Lack of coordination and falling, Muscle weakness or paralysis if motor nerves are affected, Partial or complete loss of sensation if sensory nerves are affected, Bowel or bladder dysfunction if autonomic nerves are affected, Changes in blood pressure and sweating"
what are the symptoms of mycobacterium avium complex infection?,"Fever, Fatigue, Weight loss, Night sweats, Diarrhea, Abdominal pain, Persistent cough, Shortness of breath"
what are the treatments for benign prostatic hyperplasia?,"Medications to relax the muscles of the prostate gland and improve urine flow, Minimally invasive procedures such as transurethral microwave therapy or laser therapy, Surgery to remove the prostate gland"
what are the symptoms of rheumatic fever?,"Fever, Joint pain and swelling, Chest pain, Shortness of breath"
what are the symptoms of tendinitis?,"Pain, Tenderness, Stiffness, Swelling, Weakness"
what are the symptoms of rotavirus infection?,"Diarrhea, Vomiting, Fever, Abdominal pain"
what are the treatments for leukemia?,"Chemotherapy, Radiation therapy, Stem cell transplant"
what are the symptoms of avian influenza?,"Fever, Cough, Sore throat, Muscle aches, Fatigue, Headache, Difficulty breathing, Pneumonia, Acute respiratory distress syndrome, Multi-organ failure"
what are the treatments for hashimoto's thyroiditis?,"Synthetic thyroid hormone replacement therapy, Lifestyle changes such as a healthy diet and exercise, Avoiding certain foods such as soy and high-fiber foods"
what is gastritis?,Inflammation of the stomach lining
what are the symptoms of enterovirus infection?,"Fever, Headache, Muscle aches, Fatigue, Rash, Sore throat, Runny nose, Cough, Diarrhea, Vomiting, Meningitis, Encephalitis"
what are the treatments for restless legs syndrome (rls)?,"Medications such as dopamine agonists and opioids, Lifestyle changes such as regular exercise and good sleep habits"
what are the treatments for glomerulonephritis?,"Medications to control blood pressure and reduce inflammation, Dialysis, Kidney transplant"
what are the symptoms of scabies?,"Intense itching (especially at night), Rash (usually on the hands, feet, or genitals), Small, raised bumps on the skin"
what are the treatments for obesity?,"Dietary changes, Increased physical activity, Behavioral therapy, Weight-loss medications, Bariatric surgery"
what are the symptoms of mycoplasma pneumonia?,"Fever, Cough, Sore throat, Headache, Fatigue, Muscle aches, Shortness of breath"
what are the treatments for adenoiditis?,"Antibiotics, Nasal decongestants, Surgery to remove the adenoids"
what are the symptoms of congestive heart failure?,"Shortness of breath, Fatigue, Swelling in the legs, ankles, or feet, Rapid or irregular heartbeat, Chest pain, Persistent cough or wheezing, Lack of appetite, Confusion or impaired thinking"
what are the symptoms of irritable bowel syndrome?,"Abdominal pain, Bloating, Diarrhea, Constipation, Mucus in the stool"
what are the symptoms of celiac disease?,"Abdominal pain and bloating, Diarrhea or constipation, Fatigue, Weight loss, Iron-deficiency anemia"
what are the symptoms of brucellosis?,"Fever, Fatigue, Loss of appetite, Joint pain, Muscle pain, Sweating, Headache"
what are the symptoms of brain tumors?,"Headaches, Seizures, Nausea and vomiting, Memory problems, Changes in vision, hearing, or speech, Difficulty walking or balancing, Weakness or numbness on one side of the body"
what are the symptoms of myocardial infarction?,"Chest pain or discomfort, Shortness of breath, Nausea or vomiting, Feeling lightheaded or dizzy, Sweating, Pain or discomfort in the arms, back, neck, jaw, or stomach"
what are the treatments for systemic lupus erythematosus?,"Nonsteroidal anti-inflammatory drugs (NSAIDs), Antimalarial drugs, Corticosteroids, Immunosuppressants, Biologics"
what are the symptoms of human papillomavirus infection?,"Genital warts, Abnormal Pap test results, No symptoms in many cases"
what are the treatments for cirrhosis of the liver?,"Medications to manage complications, Dietary changes to limit salt and fluid intake, Alcohol abstinence, Liver transplant"
what are the symptoms of psoriasis?,"Red patches of skin covered with thick, silvery scales, Dry, cracked skin that may bleed, Itching or burning sensations"
what are the symptoms of leptospirosis?,"Fever, Headache, Muscle aches, Vomiting, Jaundice, Red eyes, Abdominal pain, Diarrhea, Rash, Chills"
what are the treatments for dental caries?,"Fillings to repair cavities, Crowns to cover damaged teeth, Root canal therapy to treat infections, Tooth extraction in severe cases"
what are the treatments for goodbye?,"See you later, thanks for visiting, Have a nice day, Bye! Come back again soon."
what are the symptoms of heart attack?,"Chest pain or discomfort, Upper body pain or discomfort in the arms, back, neck, jaw, or stomach, Shortness of breath, Nausea or vomiting, Lightheadedness, dizziness, or fainting, Sweating"
what are the symptoms of myasthenia gravis?,"Weakness in the muscles that control eye movement, Double vision, Difficulty speaking or swallowing, Weakness in the arms, legs, or neck, Difficulty breathing"
what are the symptoms of diphtheria?,"Sore throat, Fever, Swollen glands in the neck, Weakness and fatigue, Difficulty breathing, Nasal discharge, Formation of a thick grayish coating in the throat and nose"
what are the treatments for gallstones?,"Surgery to remove the gallbladder (cholecystectomy), Medications to dissolve gallstones, Lithotripsy"
what are the symptoms of coronary artery disease?,"Chest pain or discomfort, Shortness of breath, Heart palpitations, Nausea, Sweating"
what are the symptoms of sarcoidosis?,"Shortness of breath, Coughing, Skin rashes or lesions"
what is rotavirus infection?,Rotavirus infection is a common cause of diarrhea in infants and young children. It can lead to dehydration and other complications.
what are the symptoms of leishmaniasis?,"Skin sores, Fever, Weight loss, Enlarged spleen and liver"
what are the symptoms of multiple sclerosis?,"Fatigue, Numbness or tingling in the limbs, Muscle weakness or spasms, Blurred or double vision, Difficulty with coordination and balance, Problems with speech and swallowing"
what are the treatments for zika virus infection?,"Rest, Fluids, Pain relievers, Avoiding mosquito bites, Pregnant women should avoid travel to areas with ongoing Zika virus outbreaks"
what are the symptoms of cholecystitis?,"Abdominal pain, Nausea and vomiting, Fever and chills"
what are the symptoms of insomnia?,"Difficulty falling asleep, Difficulty staying asleep, Waking up too early, Daytime fatigue, Difficulty concentrating"
what are the treatments for multiple sclerosis?,"Medications to slow the progression of the disease, Physical therapy, Occupational therapy, Speech therapy, Counseling or support groups"
what are the symptoms of gallstones?,"Sudden and rapidly intensifying pain in the upper right portion of your abdomen, Pain in the back between the shoulder blades, Pain in the right shoulder, Nausea, Vomiting"
what are the symptoms of autoimmune disorders?,"Fatigue, Joint pain and swelling, Skin problems, Abdominal pain, Digestive problems, Fever, Swollen glands, Muscle pain"
what are the symptoms of tendinitis?,"Pain, Tenderness, Stiffness, Swelling, Weakness"
what are the symptoms of rosacea?,"Redness on the cheeks, nose, chin or forehead, Small visible blood vessels on the face, Bumps or pimples on the face"
what are the symptoms of uterine cancer?,"Abnormal vaginal bleeding (e.g., bleeding between periods, after menopause), Pelvic pain or pressure, Pain during sex"
what are the treatments for parkinson's disease?,"Medications that increase dopamine in the brain, such as levodopa, dopamine agonists, and MAO-B inhibitors, Deep brain stimulation (DBS), a surgical procedure that involves implanting electrodes in the brain, Physical therapy to improve movement and balance, Speech therapy to improve voice and communication, Occupational therapy to improve daily activities"
what are the treatments for blood clotting disorders?,"Blood thinners, Anticoagulants, Platelet inhibitors, Iron supplements (in some cases)"
